"Agrupación por bultos", "Grouping your shipment into parcels"
"Communicar este envío con el servicio de mensajería", "Communicate this shipment to the courier service"
"Communicar este envío con el servicio de mensajero", "Communicate this shipment to the courier service"
"Total bultos", "Total number of parcels"
"Coste del envío (base imponible):", "Shipping cost (excluding tax):"
"Diferencia:", "Difference:"
"Distribuya los productos en bultos", "Group the products in your shipment into parcels"
"Este módulo permite distribuir sus productos agrupados en bultos, utilizando la tabla inferior. Si lo desea, <strong>puede dejar bultos vacios, y el sistema no los tendrá en cuenta</strong>.", "This module lets you organize your products into parcels using the table below. If you like you can <strong>leave some parcels empty, and the system will not take them into account</strong>."
"Introduzca una referencia indicativa para las etiquetas de cada bulto", "Enter a descriptive reference for the shipping labels of each parcel"
"Este módulo genera etiquetas que debera pegar en cada bulto. Para facilitarle la logística, puede personalizar la etiqueta de cada bulto usando los siguientes campos.", "This module generates shipping labels to afix to each parcel. To help you match the labels with the correct parcels, you can customize the references used in each label using the following fields."
"Precio del envío al cliente (base imponible):", "Cost of shipping to customer (excluding tax):"
"Distribución de bultos", "Grouping Shipment into Parcels"
"bulto ", "Parcel "
"Continuar", "Continue"
"Cancelar", "Cancel"
"Enviar", "Submit"
"Referencia bulto ", "Parcel Reference "
"Descripción del bulto ", "Description of Parcel "
"Introduzca una descripción de cada bulto", "Enter a description for each parcel"
"Puede introducir una descripción de cada bulto para comunicar al servicio de mensajería usando los siguientes campos.", "You can enter a description of each parcel to communicate to the courier service in the fields below."
