"DPD Table Rates", "Tabla de costes de envío DPD"
"Enabled", "Enabled"
"DPD Country Select", "DPD Country Select"
"Production Mode", "Production Mode"
"Production WS URL", "Production WS URL"
"Test WS URL", "Test WS URL"
"Method Title", "Method Title"
"Method Name", "Method Name"
"Web Service Username", "Web Service Username"
"Web Service Password", "Web Service Password"
"Web Service Connection Timeout", "Web Service Connection Timeout"
"Set a timeout for connecting to the DPD web service in seconds.", "Set a timeout for connecting to the DPD web service in seconds."
"E.g. http://egproduction.dpd.com/IT4EMWebServices/eshop/", "E.g. http://egproduction.dpd.com/IT4EMWebServices/eshop/"
"E.g. http://egtest.dpd.com/IT4EMWebServices/eshop/", "E.g. http://egtest.dpd.com/IT4EMWebServices/eshop/"
"Sender Address Id", "Sender Address Id"
"Payer Id", "Payer Id"
"Service", "Service"
"Select the services that you want to enable. Note that you must also define the shipping prices for these services in your shipping table rates (see below).", "Select the services that you want to enable. Note that you must also define the shipping prices for these services in your shipping table rates (see below)."
"Export Shipping Table Rates", "Export Shipping Table Rates"
"Import Shipping Table Rates", "Import Shipping Table Rates"
"DPD GeoPost Pickup Address", "DPD GeoPost Pickup Address"
"Name", "Name"
"Additional Name", "Additional Name"
"Street", "Street"
"City", "City"
"Postcode", "Postcode"
"Country", "Country"
"Telephone", "Telephone"
"Email Address", "Email Address"
"Cash On Delivery for DPD GeoPost", "Cash On Delivery for DPD GeoPost"
"Enabled", "Enabled"
"Title", "Title"
"Description", "Description"
"Surcharge Name", "Surcharge Name"
"New order status", "New order status"
"Service", "Service"
"Payment Type", "Payment Type"
"Payment from Applicable Countries", "Payment from Applicable Countries"
"Payment from Specific Countries", "Payment from Specific Countries"
"The new shipping address for shipments associated with this order have been communicated successfully to DPD.", "The new shipping address for shipments associated with this order have been communicated successfully to DPD."
"An error occurred updating the shipping address details with DPD: <br /> ""%s""", "An error occurred updating the shipping address details with DPD: <br /> ""%s"""
"DPD could not update the shipment address. The following error was returned: <br /> ""%s: %s""", "DPD could not update the shipment address. The following error was returned: <br /> ""%s: %s"""
"An error occurred retrieving the updated shipping labels from DPD. <br />""s%""", "An error occurred retrieving the updated shipping labels from DPD. <br />""s%"""
"The total length of the address cannot be more than %s characters.", "The total length of the address cannot be more than %s characters."
" incl. tax", " incl. VAT"
" excl. tax", " excl. VAT"
" Incl. tax", " Incl. VAT"
" Excl. tax", " Excl. VAT"
"(Excl.Tax)", "(Excl. VAT)"
"(Incl.Tax)", "(Incl. VAT)"
" (Excl. Tax)", " (Excl. VAT)"
" (Incl. Tax)", " (Incl. VAT)"
"Cash", "Cash"
"Credit Card", "Credit Card"
"Crossed Check", "Crossed Cheque"
"Free", "Free"
"Error obtaining shipping price: %s", "Error obtaining shipping price: %s"
"DPD error: %s", "DPD error: %s"
"Shipping price not available in order currency", "Shipping price not available in order currency"
"Could not load the stored tracking information for track %s", "Could not load the stored tracking information for track %s"
"Error loading stored tracking information for track %s", "Error loading stored tracking information for track %s"
"Error calling DPD for track %s", "Error calling DPD for track %s"
"Error calling DPD for track %s: %s ", "Error calling DPD for track %s: %s "
"Export CSV", "Export CSV"
"Manifest", "Manifest"
"DPD Pickup", "DPD Pickup"
"Country", "Country"
"Region/State", "Region/State"
"Zip/Postal Code", "Postcode"
"Shipping Price/Percentage", "Shipping Price/Percentage"
"Please the shipments to include in the closed manifest.", "Please the shipments to include in the closed manifest."
"Could not include shipment %s in the manifest because it is not a DPD shipment.", "Could not include shipment %s in the manifest because it is not a DPD shipment."
"Could not include shipment %s in the manifest because it was not communicated to DPD.", "Could not include shipment %s in the manifest because it was not communicated to DPD."
"Could not include shipment %s in the manifest because it was cancelled with DPD.", "Could not include shipment %s in the manifest because it was cancelled with DPD."
"Could not include shipment %s in the manifest because it is already in a manifest.", "Could not include shipment %s in the manifest because it is already in a manifest."
"The shipments you selected come from different stores which have different DPD connection parameters. Please select shipments which belong to stores that use the same DPD connection parameters.", "The shipments you selected come from different stores which have different DPD connection parameters. Please select shipments which belong to stores that use the same DPD connection parameters."
"Shipment %s was added to the manifest.", "Shipment %s was added to the manifest."
"An error occurred whilst requesting the manifest from DPD: %s", "An error occurred whilst requesting the manifest from DPD: %s"
"An error occurred whilst communicating the manifest details to DPD. DPD says: ""%s""", "An error occurred whilst communicating the manifest details to DPD. DPD says: ""%s"""
"The manifest was communicated successfully to DPD, but an error occurred whilst saving the manifest details in Magento. <br />Please make a capture of this screen so that you have a record of the shipments included in the manifest. <br />For you reference when communicating with DPD, the manifest details are: <br /> Manifest Reference: %s <br />Manifest Name: %s <br />Manifest internal DPD ID: %s <br />The error message returned was: %s", "The manifest was communicated successfully to DPD, but an error occurred whilst saving the manifest details in Magento. <br />Please make a capture of this screen so that you have a record of the shipments included in the manifest. <br />For you reference when communicating with DPD, the manifest details are: <br /> Manifest Reference: %s <br />Manifest Name: %s <br />Manifest internal DPD ID: %s <br />The error message returned was: %s"
"Close DPD Manifest", "Close DPD Manifest"
"Once the manifest is closed for the selected shipments, you will not be able to make further changes to their shipping addresses. Do you want to continue?", "Once the manifest is closed for the selected shipments, you will not be able to make further changes to their shipping addresses. Do you want to continue?"
"Arrange DPD Pickup", "Arrange DPD Pickup"
"Date (DD/MM/YYYY)", "Date (DD/MM/YYYY)"
"Between", "Between"
"and", "and"
"Instructions", "Instructions"
"DPD Classic", "DPD Classic"
"DPD 10:00", "DPD 10:00"
"DPD 12:00", "DPD 12:00"
"DPD B2C", "DPD B2C"
"DPD Same Day", "DPD Same Day"
"Your new shipment was successfully communicated to DPD.", "Your new shipment was successfully communicated to DPD."
"DPD says, ""%s""", "DPD says, ""%s"""
"An error occurred communicating the shipment to DPD. The shipping method '%s' is invalid", "An error occurred communicating the shipment to DPD. The shipping method '%s' is invalid"
"The shipment could not be communicated to DPD because the shipping street the maximum permitted length of %s characters. <br />Please edit the shipping address to reduce the length of the street in the shipping address.", "The shipment could not be communicated to DPD because the shipping street the maximum permitted length of %s characters. <br />Please edit the shipping address to reduce the length of the street in the shipping address."
"An error occurred communicating the shipment to DPD:<br /> ""%s""", "An error occurred communicating the shipment to DPD:<br /> ""%s"""
"DPD could not process the new shipment. The following error was returned: <br /> ""%s: %s""", "DPD could not process the new shipment. The following error was returned: <br /> ""%s: %s"""
"Successfully closed manifest %s for the following shipments. <a href='%s'>Download the manifest</a>.", "Successfully closed manifest %s for the following shipments. <a href='%s'>Download the manifest</a>."
"An error occurred whilst closing the manifest: %s", "An error occurred whilst closing the manifest: %s"
"A problem occurred whilst attempting to download a manifest. No manifest was specified in the request.", "A problem occurred whilst attempting to download a manifest. No manifest was specified in the request."
"A problem occurred whilst attempting to download the manifest id %s: %s", "A problem occurred whilst attempting to download the manifest id %s: %s"
"A problem occurred whilst attempting to download the manifest %s. The manifest no longer exists.", "A problem occurred whilst attempting to download the manifest %s. The manifest no longer exists."
"An unexpected problem occurred whilst attempting to download the manifest %s. %s", "An unexpected problem occurred whilst attempting to download the manifest %s. %s"
"Please select the shipments for which you wish to arrange a pickup.", "Please select the shipments for which you wish to arrange a pickup."
"Please enter a pickup date in the format DD/MM/YYYY.", "Please enter a pickup date in the format DD/MM/YYYY."
"Please select a from and to time for the pickup.", "Please select a from and to time for the pickup."
